Aimag,Year,Mort_hor,Mort_cat,Mort_cam,Mort_sheep,Mort_goat,All_SFU,All,SPEI_PrevSummer,SPEI_PrevSummer_point,Temp_Winter,Temp_Winter_Z_study,Temp_Winter_Z_climate
Govi-Altai,2002,0.5685752330226366,0.6190476190476191,0.1590106007067138,0.4290457629565468,0.3618570778334092,0.44054522177874844,0.4275072587133851,-0.7768049539144177,-0.7660874665647438,-12.816641928033276,0.30591094762840876,0.28825372399435406
Govi-Altai,2003,0.02279202279202279,0.03636363636363636,0.008968609865470852,0.01538031319910515,0.01001727115716753,0.015671585886583263,0.018704370675480538,-0.2070089606888374,-0.18455586462289053,-13.828807873360974,-0.3806322007546564,-0.36589824515603
Govi-Altai,2004,0.009876543209876543,0.01507537688442211,0.004184100418410042,0.003732271709380443,0.002451296606889434,0.005123652035588111,0.0070639177657957145,1.6283363747081805,1.6264032994429747,-13.16499972609383,0.06962295498422433,0.06311382413689974
Govi-Altai,2005,0.01059322033898305,0.01209677419354839,0.00816326530612245,0.007253886010362694,0.007495315427857589,0.008354115992897974,0.009120492255374837,-0.7197462743627162,-0.7237994321089778,-15.857610094439018,-1.7567506828426147,-1.6770913099505576
Govi-Altai,2006,0.005514705882352942,0.006535947712418301,0.008,0.003743406499914923,0.002815662120545535,0.004078349529337594,0.00532194444304634,-0.34879014304818295,-0.36987360219719534,-14.536103727783498,-0.8603846810421806,-0.8230159520678159
Govi-Altai,2007,0.006389776357827477,0.008,0.007692307692307693,0.005832977663963579,0.005109116122910737,0.005862545297322649,0.006604835567401897,-0.3486863923126093,-0.34051346705782304,-10.50089762448953,1.8766596893185272,1.7848943719085446
Govi-Altai,2008,0.01536312849162011,0.0330188679245283,0.007326007326007326,0.02864146561733969,0.03101515730480194,0.026986930183938346,0.023072925332859474,-0.7374817057213664,-0.6762857815224638,-15.208573899720562,-1.3165152109879397,-1.2576261947836058
Govi-Altai,2009,0.04336043360433605,0.07142857142857142,0.01481481481481482,0.0492783773241451,0.04441656210790464,0.04634892028449136,0.0446597518559544,-1.1157572721449582,-1.1418991109484178,-12.849918892906157,0.2833394786534634,0.266747179341841
Govi-Altai,2010,0.3575757575757576,0.4683195592286502,0.08921933085501858,0.3584497910963838,0.3311086392287727,0.3415991623959883,0.3209346155969166,-1.562106348739561,-1.5675547994440129,-15.019504817264995,-1.188271335830771,-1.1354328793843969
Govi-Altai,2011,0.02061855670103093,0.04347826086956522,0.01646090534979424,0.03608377491799142,0.04464072571019336,0.03649732135298884,0.03225644470971504,-0.04878155795077723,-0.07108694968443802,-15.603546031749026,-1.5844212913081985,-1.5128924375559751
Govi-Altai,2012,0.0128755364806867,0.01809954751131222,0.007936507936507938,0.02014294996751137,0.02249952732085461,0.01917418889978584,0.016310813843374565,0.023965283824532106,-0.016113209261548536,-15.67108952662049,-1.6302354424717578,-1.556545072163398
Govi-Altai,2013,0.01272727272727273,0.01355932203389831,0.01063829787234043,0.01747102577408753,0.02081455379824633,0.017550864304416717,0.015042094441169065,-0.43157169139736734,-0.4266671622795656,-14.317277968192666,-0.7119571167378254,-0.6815912161359756
Govi-Altai,2014,0.007656967840735069,0.01015228426395939,0.006578947368421053,0.01207480488882344,0.01830955929316585,0.013721045979110495,0.01095451273102096,-0.2822397120761475,-0.26922767281776233,-13.18183135788417,0.05820620900980552,0.052235721459675505
Govi-Altai,2015,0.006518904823989569,0.01012145748987854,0.006097560975609757,0.00601353044349787,0.006292412091301665,0.006600294985250737,0.007008773164855481,0.2675404426247711,0.25379507535858303,-12.06340841053368,0.8168225357518342,0.7750604486988734
Govi-Altai,2016,0.006787330316742081,0.01530612244897959,0.005763688760806916,0.009127900582865943,0.01370611041336755,0.011205730073975644,0.010138230504552415,1.1024906167211943,1.1255662314284975,-13.68646811004122,-0.28408440668912344,-0.273905586349602
Govi-Altai,2017,0.002808988764044944,0.004219409282700422,0.002597402597402597,0.002980760545569506,0.003174019044114265,0.0031397351426875318,0.003156116046766347,0.8787964718635368,0.8212353383983052,-10.764554676100415,1.6978234588151104,1.6144956539040525
